excel_row;cantidad;unidad;flag_original;clasificacion;obras_flag;item_original;descripcion_normalizada;observacion;proveedor;sistema_plano;rubro;flag_bool;55_1;55_2;55_3;55_4;notas_sugeridas;dudas;destino_preliminar
111;2;Unidades;STD;STD;;Guía telescóp. cierre suave 20cm;guia telescop. cierre suave 20cm;;;Muebles;Carpinteria;False;NO VA;Comprar;Comprar;Comprar;"Sistema/Plano: Muebles | Estado por obra: 55-1=NO VA; 55-2=Comprar; 55-3=Comprar; 55-4=Comprar";;matriz_k55
112;3;Unidades;STD;STD;;Guía telescóp. cierre suave 25cm;guia telescop. cierre suave 25cm;;;Muebles;Carpinteria;False;En Chubut;Comprar;Comprar;Comprar;"Sistema/Plano: Muebles | Estado por obra: 55-1=En Chubut; 55-2=Comprar; 55-3=Comprar; 55-4=Comprar";;matriz_k55
113;6;Unidades;STD;STD;;Guía telescóp. cierre suave 40cm;guia telescop. cierre suave 40cm;;;Muebles;Carpinteria;False;En Chubut;Comprar;Comprar;Comprar;"Sistema/Plano: Muebles | Estado por obra: 55-1=En Chubut; 55-2=Comprar; 55-3=Comprar; 55-4=Comprar";;matriz_k55
114;6;Unidades;STD;STD;;Guía telescóp. cierre suave 45cm;guia telescop. cierre suave 45cm;;;Muebles;Carpinteria;False;En Chubut;Comprar;Comprar;Comprar;"Sistema/Plano: Muebles | Estado por obra: 55-1=En Chubut; 55-2=Comprar; 55-3=Comprar; 55-4=Comprar";;matriz_k55
115;1;Unidades;STD;STD;;Corredera ocultas Bronzen LARGO 500mm;corredera ocultas bronzen largo 500mm;;;Muebles;Carpinteria;False;Comprar;Revisar;Revisar;Revisar;"Sistema/Plano: Muebles | Estado por obra: 55-1=Comprar; 55-2=Revisar; 55-3=Revisar; 55-4=Revisar";;matriz_k55
116;3;Unidades;STD;STD;;Cuchara bronce Nro 104;cuchara bronce nro 104;;Casa Iriarte;Sist. Agua;Sanitarios;False;;;;;Sistema/Plano: Sist. Agua;;matriz_k55
117;1;Unidades;STD;STD;;"Cuchara bronce ranurada toma 1/2""";"cuchara bronce ranurada toma 1/2""";;;Sist. Agua;Sanitarios;False;;;;;Sistema/Plano: Sist. Agua;;matriz_k55
118;1;Unidades;STD;STD;;"CUPLA DE BRONCE 1/2""";"cupla de bronce 1/2""";;;Sist. Agua;Sanitarios;True;;;;;Sistema/Plano: Sist. Agua;;matriz_k55
119;1;Unidades;STD;STD;;"Cupla Inoxidable 1 1/2""";"cupla inoxidable 1 1/2""";;;Sist. Combustible;Mecanica;False;En Chubut;;;;Sistema/Plano: Sist. Combustible | Estado por obra: 55-1=En Chubut;;matriz_k55
120;3;Unidades;STD;STD;;"Cupla Inoxidable 1 1/4""";"cupla inoxidable 1 1/4""";;;Sist. Combustible;Mecanica;False;En Chubut;;;;Sistema/Plano: Sist. Combustible | Estado por obra: 55-1=En Chubut;;matriz_k55
121;5;Unidades;STD;STD;;"Cupla Inoxidable 1""";"cupla inoxidable 1""";;;Sist. Combustible;Mecanica;False;En Chubut;;;;Sistema/Plano: Sist. Combustible | Estado por obra: 55-1=En Chubut;;matriz_k55
122;3;Unidades;STD;STD;;"Cupla Inoxidable 1/2""";"cupla inoxidable 1/2""";;;Sist. Combustible;Mecanica;False;En Chubut;;;;Sistema/Plano: Sist. Combustible | Estado por obra: 55-1=En Chubut;;matriz_k55
123;5;Unidades;STD;STD;;"Cupla Inoxidable 1/4""";"cupla inoxidable 1/4""";;;Sist. Combustible;Mecanica;False;En Chubut;;;;Sistema/Plano: Sist. Combustible | Estado por obra: 55-1=En Chubut;;matriz_k55
124;1;Unidades;STD;STD;;"Cupla Inoxidable 2""";"cupla inoxidable 2""";;;Sist. Combustible;Mecanica;False;En Chubut;;;;Sistema/Plano: Sist. Combustible | Estado por obra: 55-1=En Chubut;;matriz_k55
125;3;Unidades;STD;STD;;"Cupla Inoxidable 3/4""";"cupla inoxidable 3/4""";;;Sist. Combustible;Mecanica;False;En Chubut;;;;Sistema/Plano: Sist. Combustible | Estado por obra: 55-1=En Chubut;;matriz_k55
126;8;Unidades;STD;STD;;"Cupla termofusion 1""";"cupla termofusion 1""";;;Sist. Agua;Sanitarios;False;;;;;Sistema/Plano: Sist. Agua;;matriz_k55
127;6;Unidades;STD;STD;;Defensas blancas con cabo negro 8mm - 4m;defensas blancas con cabo negro 8mm - 4m;;;Alistamiento;;False;;;;;Sistema/Plano: Alistamiento;sin rubro;matriz_k55
128;2;Unidades;55-1;OBRA_ESPECIFICA;55-1;Desagues lineales ducha -SOLO BARCO 55-1;desagues lineales ducha -solo barco 55-1;;;Sist. Sanitario;;False;Pedido;NO VA;;;"Sistema/Plano: Sist. Sanitario | Estado por obra: 55-1=Pedido; 55-2=NO VA";solo obra especifica | sin rubro;obra_especifica
129;1;Unidades;STD;STD;;"Destorcedor tipo ""gusano"" INOX p/cadena 10-12mm";"destorcedor tipo ""gusano"" inox p/cadena 10-12mm";;Flojumar;Alistamiento;Mecanica;False;En Chubut;;;;Sistema/Plano: Alistamiento | Estado por obra: 55-1=En Chubut;;matriz_k55
130;1;Unidades;STD;STD;;Direccion electro asistida twin disk;direccion electro asistida twin disk;;;Sist. Timon;Electricidad;False;;;;;Sistema/Plano: Sist. Timon;;matriz_k55
131;2;Unidades;55-1;OBRA_ESPECIFICA;55-1;Divisor de carga 80A (tiene que tener línea de compensación para el alternador como el Victron Argodiodo 80-2AC);divisor de carga 80a (tiene que tener linea de compensacion para el alternador como el victron argodiodo 80-2ac);;;Alistamiento;Electricidad;False;En Chubut;;;;Sistema/Plano: Alistamiento | Estado por obra: 55-1=En Chubut;;obra_especifica
132;1;Unidades;OPC;OPC;;DUCHADOR agua de rio;duchador agua de rio;;;Sist. Agua;Sanitarios;False;;;;;Sistema/Plano: Sist. Agua;clasificacion OPC;revisar_no_matriz
133;2;Unidades;STD;STD;;Duchador con barral FV Polca;duchador con barral fv polca;;;Sist. Agua;;False;Pedido;NO VA;;;"Sistema/Plano: Sist. Agua | Estado por obra: 55-1=Pedido; 55-2=NO VA";sin rubro;matriz_k55
134;2;Unidades;55-2;OBRA_ESPECIFICA;55-2;Duchador de mano NEGRO + Codo pared;duchador de mano negro + codo pared;;;Sist. Agua;;True;NO VA;Especificar;;;"Sistema/Plano: Sist. Agua | Estado por obra: 55-1=NO VA; 55-2=Especificar";modelo/definicion pendiente | sin rubro;obra_especifica
135;1;Unidades;STD;STD;;Duchador frio calor WHALE Twist;duchador frio calor whale twist;;Flojumar;Sist. Agua;Sanitarios;False;En Chubut;;;;Sistema/Plano: Sist. Agua | Estado por obra: 55-1=En Chubut;posible marca/variante;matriz_k55
136;2;Unidades;55-2;OBRA_ESPECIFICA;55-2;Duchador Mano Piazza Lujo D0105ne + Sop Toma Flex 1.5m Negro;duchador mano piazza lujo d0105ne + sop toma flex 1.5m negro;;MercadoLibre;Sist. Agua;Sanitarios;False;NO VA;Pedido;;;"Sistema/Plano: Sist. Agua | Estado por obra: 55-1=NO VA; 55-2=Pedido";;obra_especifica
137;3;Unidades;STD;STD;;"Ducto p/extractor de 3""";"ducto p/extractor de 3""";;Trimer;Sist. Sanitario;Electricidad;False;;;;;Sistema/Plano: Sist. Sanitario;;matriz_k55
138;1;Unidades;STD;STD;;Ecosonda;ecosonda;;;Alistamiento;;False;Pedido;;;;Sistema/Plano: Alistamiento | Estado por obra: 55-1=Pedido;sin rubro;matriz_k55
139;2;Unidades;55-1;OBRA_ESPECIFICA;55-1;ELECTROVALVULA 12V ORIGINAL;electrovalvula 12v original;;Flojumar;Sist. Sanitario;Electricidad;False;;;;;Sistema/Plano: Sist. Sanitario;;obra_especifica
140;3;Unidades;STD;STD;;"EMPALME ESPIGA PARA MANGUERA 1"" PLASTICO";"empalme espiga para manguera 1"" plastico";;Casa Iriarte;Sist. Agua;Sanitarios;False;;;;;Sistema/Plano: Sist. Agua;;matriz_k55
141;1;Unidades;STD;STD;;Enchufe hembra;enchufe hembra;;;Sist. Electrico;Electricidad;False;En Chubut;;;;Sistema/Plano: Sist. Electrico | Estado por obra: 55-1=En Chubut;;matriz_k55
142;1;Unidades;STD;STD;;Enchufe macho;enchufe macho;;;Sist. Electrico;Electricidad;False;En Chubut;;;;Sistema/Plano: Sist. Electrico | Estado por obra: 55-1=En Chubut;;matriz_k55
143;1;Unidades;STD;STD;;Entrada agua potable (marina);entrada agua potable (marina);;Baron;Sist. Agua;Sanitarios;False;;;;;Sistema/Plano: Sist. Agua;;matriz_k55
144;2;Unidades;STD;STD;;"Entrerrosca 1"" bronce";"entrerrosca 1"" bronce";;Casa Iriarte;Sist. Agua;Sanitarios;False;;;;;Sistema/Plano: Sist. Agua;;matriz_k55
145;4;Unidades;STD;STD;;"Entrerrosca 1/2"" bronce";"entrerrosca 1/2"" bronce";;Casa Iriarte;Sist. Agua;Sanitarios;False;;;;;Sistema/Plano: Sist. Agua;;matriz_k55
146;4;Unidades;STD;STD;;"Entrerrosca 1/2"" plastico";"entrerrosca 1/2"" plastico";;Casa Iriarte;Sist. Agua;Sanitarios;False;;;;;Sistema/Plano: Sist. Agua;;matriz_k55
147;2;Unidades;STD;STD;;"Entrerrosca 3/4"" bronce";"entrerrosca 3/4"" bronce";;Casa Iriarte;Sist. Agua;Sanitarios;False;;;;;Sistema/Plano: Sist. Agua;;matriz_k55
148;1;Unidades;STD;STD;;"Entrerrosca de reduccion 3/4"" x 1/2"" plastico";"entrerrosca de reduccion 3/4"" x 1/2"" plastico";;Casa Iriarte;Sist. Agua;Sanitarios;False;;;;;Sistema/Plano: Sist. Agua;;matriz_k55
149;1;Unidades;STD;STD;;Epuyén – Juego monocomando para mesada de cocina (cromado);epuyen – juego monocomando para mesada de cocina (cromado);;;Sist. Agua;;False;Pedido;;;;Sistema/Plano: Sist. Agua | Estado por obra: 55-1=Pedido;sin rubro;matriz_k55
150;1;Unidades;VAR;VAR;;Equipo de audio (elige cliente);equipo de audio (elige cliente);;;Sist. Electrico;;False;Especificar;;;;Sistema/Plano: Sist. Electrico | Estado por obra: 55-1=Especificar;modelo/definicion pendiente | clasificacion VAR | sin rubro;revisar_no_matriz
151;1;Unidades;STD;STD;;Escalera flybridge K55;escalera flybridge k55;;Maxi Herrero;Herrajes Std.;;False;;;;;Sistema/Plano: Herrajes Std.;sin rubro | proveedor nuevo Maxi Herrero;matriz_k55
152;1;Unidades;ADC;ADC;;Estabilizador giroscopo;estabilizador giroscopo;;;Alistamiento;Electricidad;False;En Chubut;;;;Sistema/Plano: Alistamiento | Estado por obra: 55-1=En Chubut;clasificacion ADC;revisar_no_matriz
153;2;Unidades;STD;STD;;"Extractor Rule 3"" 12V";"extractor rule 3"" 12v";;Trimer;Sist. Sanitario;Electricidad;False;;;;;Sistema/Plano: Sist. Sanitario;posible marca/variante;matriz_k55
154;2;Unidades;STD;STD;;Fabricadora de hielo WHITE ICE ACERO INOXIDABLE;fabricadora de hielo white ice acero inoxidable;;Flojumar;Sist. Electrico;Electricidad;True;En Chubut;;;;Sistema/Plano: Sist. Electrico | Estado por obra: 55-1=En Chubut;posible marca/variante;matriz_k55
155;1;Unidades;STD;STD;;Faro Marinco 12V dirigible;faro marinco 12v dirigible;;Flojumar;Alistamiento;Electricidad;False;En Chubut;;;;Sistema/Plano: Alistamiento | Estado por obra: 55-1=En Chubut;;matriz_k55
156;1;Unidades;STD;STD;;Ficha Marinco hembra 32A 220V;ficha marinco hembra 32a 220v;;Flojumar;Sist. Electrico;Electricidad;False;;;;;Sistema/Plano: Sist. Electrico;;matriz_k55
157;1;Unidades;STD;STD;;"Filtro agua 1""";"filtro agua 1""";;Casa Iriarte;Sist. Sanitario;Sanitarios;False;Revisar;;;;Sistema/Plano: Sist. Sanitario | Estado por obra: 55-1=Revisar;;matriz_k55
158;2;Unidades;STD;STD;;"Filtro agua 3/4""";"filtro agua 3/4""";;Casa Iriarte;Sist. Sanitario;Electricidad;False;En Barco;;;;Sistema/Plano: Sist. Sanitario | Estado por obra: 55-1=En Barco;;matriz_k55
159;8;Unidades;STD;STD;;"Flexible mallado para agua 1/2"" X 40cm";"flexible mallado para agua 1/2"" x 40cm";;Casa Iriarte;Sist. Sanitario;Sanitarios;False;;;;;Sistema/Plano: Sist. Sanitario;;matriz_k55
160;3;Unidades;STD;STD;;"Flexible mallado para agua 1/2"" X 50cm";"flexible mallado para agua 1/2"" x 50cm";;Casa Iriarte;Sist. Sanitario;Sanitarios;False;;;;;Sistema/Plano: Sist. Sanitario;;matriz_k55
161;2;Unidades;55-3/4;OBRA_ESPECIFICA;55-3;Footswich Maxwell con tapa heavy duty grande;footswich maxwell con tapa heavy duty grande;;Trimer;Alistamiento;Electricidad;False;NO VA;NO VA;Pedido;Pedido;"Sistema/Plano: Alistamiento | Estado por obra: 55-1=NO VA; 55-2=NO VA; 55-3=Pedido; 55-4=Pedido";;obra_especifica
162;1;Unidades;STD;STD;;Funda para ficha Marinco 32A 220V;funda para ficha marinco 32a 220v;;Flojumar;Sist. Electrico;Electricidad;False;;;;;Sistema/Plano: Sist. Electrico;;matriz_k55
163;1;Unidades;STD;STD;;Generador Kohler 18EFKOZD/21EKOZD;generador kohler 18efkozd/21ekozd;;Trimer;Sist. Electrico;;False;En Chubut;;;;Sistema/Plano: Sist. Electrico | Estado por obra: 55-1=En Chubut;sin rubro;matriz_k55
164;1;Unidades;STD;STD;;Giratorio gusano cadena 10-12mm;giratorio gusano cadena 10-12mm;;;Alistamiento;;False;;;;;Sistema/Plano: Alistamiento;sin rubro;matriz_k55
165;1;Unidades;55-1;OBRA_ESPECIFICA;55-1;Grill KENION;grill kenion;;Flojumar;Electrodomesticos;Electricidad;False;En Chubut;;;;Sistema/Plano: Electrodomesticos | Estado por obra: 55-1=En Chubut;;obra_especifica
166;1;Unidades;55-2;OBRA_ESPECIFICA;55-2;Heladera BOSCH KIN86ADD0;heladera bosch kin86add0;;;Electrodomesticos;Electricidad;False;NO VA;Pedido;;;"Sistema/Plano: Electrodomesticos | Estado por obra: 55-1=NO VA; 55-2=Pedido";posible marca/variante;obra_especifica
167;1;Unidades;55-1;OBRA_ESPECIFICA;55-1;Heladera Whirpool WRE25AB PANELABLE - SOLO barco 1;heladera whirpool wre25ab panelable - solo barco 1;;;Electrodomesticos;Electricidad;False;En Chubut;;;;Sistema/Plano: Electrodomesticos | Estado por obra: 55-1=En Chubut;solo obra especifica;obra_especifica
168;1;Unidades;55-1;OBRA_ESPECIFICA;55-1;HOLDING TANK MATROMARINE ITALIANO 103 LITROS 12V;holding tank matromarine italiano 103 litros 12v;;Flojumar;Sist. Sanitario;Sanitarios;False;En Chubut;NO VA;NO VA;NO VA;"Sistema/Plano: Sist. Sanitario | Estado por obra: 55-1=En Chubut; 55-2=NO VA; 55-3=NO VA; 55-4=NO VA";;obra_especifica
169;1;Unidades;55-1;OBRA_ESPECIFICA;55-1;HOLDING TANK MATROMARINE ITALIANO 73 LITROS 12V;holding tank matromarine italiano 73 litros 12v;;Flojumar;Sist. Sanitario;Sanitarios;False;;;;;Sistema/Plano: Sist. Sanitario;;obra_especifica
170;1;Unidades;STD;STD;;Horno Samsung NV7B4040VAS/BG;horno samsung nv7b4040vas/bg;;;Electrodomesticos;Electricidad;False;En Chubut;Comprar;Comprar;;"Sistema/Plano: Electrodomesticos | Estado por obra: 55-1=En Chubut; 55-2=Comprar; 55-3=Comprar";posible marca/variante;matriz_k55
171;46;Unidades;STD;STD;;Imanes para puertas de muebles;imanes para puertas de muebles;;Rincon del Herraje;Muebles;Carpinteria;False;En Chubut;Revisar;Comprar;Comprar;"Sistema/Plano: Muebles | Estado por obra: 55-1=En Chubut; 55-2=Revisar; 55-3=Comprar; 55-4=Comprar";;matriz_k55
172;1;Unidades;OPC;OPC;;Inodoro electrico (Camarote Marinero), modelo??;inodoro electrico (camarote marinero), modelo1/21/2;;Flojumar;Sist. Sanitario;;True;Especificar;;;;Sistema/Plano: Sist. Sanitario | Estado por obra: 55-1=Especificar;modelo/definicion pendiente | clasificacion OPC | sin rubro;revisar_no_matriz
173;2;Unidades;STD;STD;;Inodoro Tecma Thetford silence 2 plusg con bidet y tapa 12v;inodoro tecma thetford silence 2 plusg con bidet y tapa 12v;;Flojumar;Sist. Sanitario;Sanitarios;False;;;;;Sistema/Plano: Sist. Sanitario;;matriz_k55
174;2;Unidades;STD;STD;;Instrumento agua/combustible aro cromado;instrumento agua/combustible aro cromado;;Flojumar;Sist. Electrico;Electricidad;False;En Chubut;;;;Sistema/Plano: Sist. Electrico | Estado por obra: 55-1=En Chubut;;matriz_k55
175;2;Unidades;STD;STD;;Joystick doble Quick italy;joystick doble quick italy;;Flojumar;Sist. Electrico;Electricidad;False;En Chubut;;;;Sistema/Plano: Sist. Electrico | Estado por obra: 55-1=En Chubut;posible marca/variante;matriz_k55
176;2;Unidades;STD;STD;;Juego monocomando para bañera y ducha Epuyén 0106/L2 Cromado;juego monocomando para banera y ducha epuyen 0106/l2 cromado;;;Sist. Agua;;False;Pedido;NO VA;;;"Sistema/Plano: Sist. Agua | Estado por obra: 55-1=Pedido; 55-2=NO VA";sin rubro;matriz_k55
177;2;Unidades;55-2;OBRA_ESPECIFICA;55-2;Juego monocomando para bañera y ducha Epuyén 0106/L2 NEGRO;juego monocomando para banera y ducha epuyen 0106/l2 negro;;;Sist. Agua;;False;NO VA;Comprar;;;"Sistema/Plano: Sist. Agua | Estado por obra: 55-1=NO VA; 55-2=Comprar";sin rubro;obra_especifica
178;2;Unidades;STD;STD;;Juego monocomando para lavatorio Epuyén 0206/L2 Cromado;juego monocomando para lavatorio epuyen 0206/l2 cromado;;;Sist. Agua;;False;Pedido;NO VA;;;"Sistema/Plano: Sist. Agua | Estado por obra: 55-1=Pedido; 55-2=NO VA";sin rubro;matriz_k55
179;2;Unidades;55-2;OBRA_ESPECIFICA;55-2;Juego monocomando para lavatorio Epuyén 0206/L2 Negro;juego monocomando para lavatorio epuyen 0206/l2 negro;;;Sist. Agua;;False;NO VA;Pedido;;;"Sistema/Plano: Sist. Agua | Estado por obra: 55-1=NO VA; 55-2=Pedido";sin rubro;obra_especifica
180;1;Unidades;55-2;OBRA_ESPECIFICA;55-2;Lavaropas LG inverter carga frontal;lavaropas lg inverter carga frontal;;;Electrodomesticos;Electricidad;False;NO VA;Comprar;;;"Sistema/Plano: Electrodomesticos | Estado por obra: 55-1=NO VA; 55-2=Comprar";posible marca/variante;obra_especifica
181;1;Unidades;55-1/2;OBRA_ESPECIFICA;55-1;Lavavajillas Bosch SMV2ITX09E;lavavajillas bosch smv2itx09e;;;Electrodomesticos;Electricidad;False;En Chubut;Comprar;;;"Sistema/Plano: Electrodomesticos | Estado por obra: 55-1=En Chubut; 55-2=Comprar";posible marca/variante;obra_especifica
182;2;Unidades;STD;STD;;Limpia Parabrisas pantograficos;limpia parabrisas pantograficos;;Tableros Costa;Sist. Electrico;;False;En Chubut;Especificar;;;"Sistema/Plano: Sist. Electrico | Estado por obra: 55-1=En Chubut; 55-2=Especificar";modelo/definicion pendiente | sin rubro;revisar_no_matriz
183;2;Unidades;STD;STD;;Llave carling malacate 2 puntos;llave carling malacate 2 puntos;;Flojumar;Sist. Electrico;Electricidad;False;;;;;Sistema/Plano: Sist. Electrico;;matriz_k55
184;6;Unidades;STD;STD;;Llave corte batería remota Blue Sea;llave corte bateria remota blue sea;;Flojumar;Sist. Electrico;Electricidad;False;En Barco;;;;Sistema/Plano: Sist. Electrico | Estado por obra: 55-1=En Barco;;matriz_k55
185;4;Unidades;STD;STD;;Llave de paso Whale WX1573;llave de paso whale wx1573;;;Sist. Agua;Sanitarios;False;;;;;Sistema/Plano: Sist. Agua;posible marca/variante;matriz_k55
186;6;Unidades;OPC;OPC;;Luces bajo agua Azul/Blanco;luces bajo agua azul/blanco;;;;;False;;;;;;clasificacion OPC | sin rubro;revisar_no_matriz
187;6;Unidades;STD;STD;;Luces de lectura;luces de lectura;;;;;False;;;;;;sin rubro;matriz_k55
188;1;Unidades;OPC;OPC;;Luces de lectura;luces de lectura;;;;;False;;;;;;clasificacion OPC | sin rubro;revisar_no_matriz
189;1;Unidades;STD;STD;;Luz banda ROJA led;luz banda roja led;;Flojumar;Alistamiento;Electricidad;False;En Chubut;;;;Sistema/Plano: Alistamiento | Estado por obra: 55-1=En Chubut;;matriz_k55
190;1;Unidades;STD;STD;;Luz banda VERDE led;luz banda verde led;;Flojumar;Alistamiento;Electricidad;False;En Chubut;;;;Sistema/Plano: Alistamiento | Estado por obra: 55-1=En Chubut;;matriz_k55
191;1;Unidades;STD;STD;;Luz fondeo led blanca 360;luz fondeo led blanca 360;;Flojumar;Alistamiento;Electricidad;False;En Chubut;;;;Sistema/Plano: Alistamiento | Estado por obra: 55-1=En Chubut;;matriz_k55
192;1;Unidades;STD;STD;;Luz navegacion proa blanca led;luz navegacion proa blanca led;;Flojumar;Alistamiento;Electricidad;False;En Chubut;;;;Sistema/Plano: Alistamiento | Estado por obra: 55-1=En Chubut;;matriz_k55
193;1;Unidades;STD;STD;;luz popa led blanca;luz popa led blanca;;Flojumar;Alistamiento;Electricidad;False;En Chubut;;;;Sistema/Plano: Alistamiento | Estado por obra: 55-1=En Chubut;;matriz_k55
194;1;Unidades;55-3/4;OBRA_ESPECIFICA;55-3;Malacate Maxwell RC10 12V INOX;malacate maxwell rc10 12v inox;;Trimer;Alistamiento;Electricidad;False;NO VA;NO VA;Pedido;Pedido;"Sistema/Plano: Alistamiento | Estado por obra: 55-1=NO VA; 55-2=NO VA; 55-3=Pedido; 55-4=Pedido";;obra_especifica
195;1;Unidades;STD;STD;;Malacate Quick italy 1500 watts 12v acero inoxidable;malacate quick italy 1500 watts 12v acero inoxidable;;Flojumar;Alistamiento;Electricidad;False;Revisar;;;;Sistema/Plano: Alistamiento | Estado por obra: 55-1=Revisar;posible marca/variante;matriz_k55
196;65;Metros;STD;STD;;"Manguera cristal alambre 1""";"manguera cristal alambre 1""";;;Sist. Agua;Sanitarios;False;;;;;Sistema/Plano: Sist. Agua;;matriz_k55
197;50;Metros;STD;STD;;"Manguera cristal alambre 1½""";"manguera cristal alambre 1½""";;;Sist. Agua;Sanitarios;False;;;;;Sistema/Plano: Sist. Agua;;matriz_k55
198;65;Metros;STD;STD;;"Manguera cristal alambre 3/4""";"manguera cristal alambre 3/4""";;;Sist. Agua;Sanitarios;False;;;;;Sistema/Plano: Sist. Agua;;matriz_k55
199;1;Unidades;STD;STD;;Mesa ratona en salon, EL LINK ES UN EJEMPLO;mesa ratona en salon, el link es un ejemplo;;MercadoLibre;Muebles;Carpinteria;False;Especificar;;;;Sistema/Plano: Muebles | Estado por obra: 55-1=Especificar;modelo/definicion pendiente;revisar_no_matriz
200;1;Unidades;VAR;VAR;;Microondas SAMSUNG MG23F3K3TAS/BG GRILL;microondas samsung mg23f3k3tas/bg grill;;;Electrodomesticos;Electricidad;False;Pedido;;;;Sistema/Plano: Electrodomesticos | Estado por obra: 55-1=Pedido;clasificacion VAR | posible marca/variante;revisar_no_matriz
201;2;Unidades;55-1;OBRA_ESPECIFICA;55-1;Motor Volvo D11-725 70112078912//29;motor volvo d11-725 70112078912//29;;;Sist. Motor;Mecanica;False;;;;;Sistema/Plano: Sist. Motor;;obra_especifica
202;1;Unidades;STD;STD;;Multicontrol Victron con cable (para cargador inversor);multicontrol victron con cable (para cargador inversor);;Flojumar;Alistamiento;Electricidad;False;En Chubut;;;;Sistema/Plano: Alistamiento | Estado por obra: 55-1=En Chubut;;matriz_k55
203;1;Unidades;STD;STD;;"Niple de inox 316 de 1/2"", L= 100 mm";"niple de inox 316 de 1/2"", l= 100 mm";;;Sist. Combustible;Mecanica;False;En Chubut;;;;Sistema/Plano: Sist. Combustible | Estado por obra: 55-1=En Chubut;;matriz_k55
204;1;Unidades;STD;STD;;"Niple de inox 316 de 3/4"", L = 100 mm";"niple de inox 316 de 3/4"", l = 100 mm";;;Sist. Combustible;Mecanica;False;En Chubut;;;;Sistema/Plano: Sist. Combustible | Estado por obra: 55-1=En Chubut;;matriz_k55
205;5;Unidades;STD;STD;;Ojo de buey;ojo de buey;;;;;False;;;;;;sin rubro;matriz_k55
206;5;Unidades;STD;STD;;Panel bomba de achique Johnson pump;panel bomba de achique johnson pump;;Flojumar;Sist. Electrico;Sanitarios;False;;;;;Sistema/Plano: Sist. Electrico;posible marca/variante;matriz_k55
207;2;Unidades;55-1;OBRA_ESPECIFICA;55-1;Panel de control Tecma thetford before/after;panel de control tecma thetford before/after;;Flojumar;Sist. Sanitario;Sanitarios;False;En Chubut;NO VA;NO VA;NO VA;"Sistema/Plano: Sist. Sanitario | Estado por obra: 55-1=En Chubut; 55-2=NO VA; 55-3=NO VA; 55-4=NO VA";;obra_especifica
208;1;Unidades;STD;STD;;Pantalla tactil de timonera interior, modelo?? accesorios??;pantalla tactil de timonera interior, modelo1/21/2 accesorios1/21/2;;;Alistamiento;;True;;;;;Sistema/Plano: Alistamiento;sin rubro;matriz_k55
209;1;Unidades;OPC;OPC;;"Pasacasco 1/2"" bronce";"pasacasco 1/2"" bronce";;;Sist. Agua;Sanitarios;False;;;;;Sistema/Plano: Sist. Agua;clasificacion OPC;revisar_no_matriz
210;1;Unidades;STD;STD;;Pasamanos escalera flybridge K55;pasamanos escalera flybridge k55;;Maxi Herrero;Herrajes Std.;;False;;;;;Sistema/Plano: Herrajes Std.;sin rubro | proveedor nuevo Maxi Herrero;matriz_k55
211;13;Unidades;STD;STD;;Pasamanos varios K55;pasamanos varios k55;;Maxi Herrero;Herrajes Std.;;False;;;;;Sistema/Plano: Herrajes Std.;sin rubro | proveedor nuevo Maxi Herrero;matriz_k55
212;4;Unidades;STD;STD;;Percha Epuyén 0166/L2 Cromado;percha epuyen 0166/l2 cromado;;;Sist. Agua;;False;Pedido;NO VA;;;"Sistema/Plano: Sist. Agua | Estado por obra: 55-1=Pedido; 55-2=NO VA";sin rubro;matriz_k55
213;4;Unidades;55-2;OBRA_ESPECIFICA;55-2;Percha Epuyén 0166/L2 Negro;percha epuyen 0166/l2 negro;;;Sist. Agua;;False;NO VA;Pedido;;;"Sistema/Plano: Sist. Agua | Estado por obra: 55-1=NO VA; 55-2=Pedido";sin rubro;obra_especifica
214;110;Metros;STD;STD;;Perfil aluminio tira LED;perfil aluminio tira led;;MercadoLibre;Sist. Electrico;;False;;;;;Sistema/Plano: Sist. Electrico;sin rubro;matriz_k55
215;110;Unidades;STD;STD;;Perfiles de aluminio para tiras led;perfiles de aluminio para tiras led;;MercadoLibre;Sist. Electrico;;False;Especificar;;;;Sistema/Plano: Sist. Electrico | Estado por obra: 55-1=Especificar;modelo/definicion pendiente | sin rubro;revisar_no_matriz
216;12;Unidades;OPC;OPC;;Picaportes Currao SARDEGNA - ver color;picaportes currao sardegna - ver color;;;Muebles;;False;NO VA;Comprar;;;"Sistema/Plano: Muebles | Estado por obra: 55-1=NO VA; 55-2=Comprar";clasificacion OPC | sin rubro | posible marca/variante;revisar_no_matriz
217;14;Unidades;STD;STD;;Picaportes Currao SARDEGNA - ver color;picaportes currao sardegna - ver color;;;Muebles;;False;Comprar;NO VA;;;"Sistema/Plano: Muebles | Estado por obra: 55-1=Comprar; 55-2=NO VA";sin rubro | posible marca/variante;matriz_k55
218;1;Unidades;55-1, OPC;MIXTO;55-1;Piloto automàtico;piloto automatico;;;Alistamiento;Electricidad;False;Pedido;;;;Sistema/Plano: Alistamiento | Estado por obra: 55-1=Pedido;clasificacion MIXTO;revisar_no_matriz
