excel_row;cantidad;unidad;flag_original;clasificacion;obras_flag;item_original;descripcion_normalizada;observacion;proveedor;sistema_plano;rubro;flag_bool;55_1;55_2;55_3;55_4;notas_sugeridas;dudas;destino_preliminar
303;60;Metros;STD;STD;;Tubo Whale azul 15mm WX7152;tubo whale azul 15mm wx7152;;;Sist. Agua;Sanitarios;False;;;;;Sistema/Plano: Sist. Agua;posible marca/variante;matriz_k55
304;50;Metros;STD;STD;;Tubo Whale rojo 15mm WX7154;tubo whale rojo 15mm wx7154;;;Sist. Agua;Sanitarios;False;;;;;Sistema/Plano: Sist. Agua;posible marca/variante;matriz_k55
307;1;Unidades;STD;STD;;"TV SAMSUNG 43"" FULL HD T5300";"tv samsung 43"" full hd t5300";;;Electrodomesticos;Electricidad;False;En Chubut;;;;Sistema/Plano: Electrodomesticos | Estado por obra: 55-1=En Chubut;posible marca/variante;matriz_k55
308;1;Unidades;STD;STD;;"TV SAMSUNG 50"" Crystal UHD 4K U8000F";"tv samsung 50"" crystal uhd 4k u8000f";;;Electrodomesticos;Electricidad;False;NO VA;;;;Sistema/Plano: Electrodomesticos | Estado por obra: 55-1=NO VA;posible marca/variante;matriz_k55
309;1;Unidades;55-1;OBRA_ESPECIFICA;55-1;"TV SAMSUNG 55"" QLED Q6F 4K Smart";"tv samsung 55"" qled q6f 4k smart";;;Electrodomesticos;Electricidad;False;Comprar;;;;Sistema/Plano: Electrodomesticos | Estado por obra: 55-1=Comprar;posible marca/variante;obra_especifica
311;23;Unidades;STD;STD;;"Union rosca H 1/2"" WHALE WX1532";"union rosca h 1/2"" whale wx1532";;;Sist. Agua;Sanitarios;False;;;;;Sistema/Plano: Sist. Agua;posible marca/variante;matriz_k55
312;1;Unidades;OPC;OPC;;"Union rosca H 1/2"" WHALE WX1532 - opcional duchador rio";"union rosca h 1/2"" whale wx1532 - opcional duchador rio";;;Sist. Agua;Sanitarios;False;;;;;Sistema/Plano: Sist. Agua;clasificacion OPC | posible marca/variante;revisar_no_matriz
313;19;Unidades;STD;STD;;"Union rosca M 1/2"" WHALE WX1514";"union rosca m 1/2"" whale wx1514";;;Sist. Agua;Sanitarios;False;;;;;Sistema/Plano: Sist. Agua;posible marca/variante;matriz_k55
314;1;Unidades;OPC;OPC;;"Union rosca M 1/2"" WHALE WX1514 - opcional duchador rio";"union rosca m 1/2"" whale wx1514 - opcional duchador rio";;;Sist. Agua;Sanitarios;False;;;;;Sistema/Plano: Sist. Agua;clasificacion OPC | posible marca/variante;revisar_no_matriz
319;1;Unidades;OPC;OPC;;"Válvula esférica 1/2""";"valvula esferica 1/2""";;;Sist. Agua;Sanitarios;False;;;;;Sistema/Plano: Sist. Agua;clasificacion OPC;revisar_no_matriz
